,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ave.
62,1957,2.99 %,3.36 %,3.73 %,3.72 %,3.70 %,3.31 %,3.28 %,3.66 %,3.28 %,2.91 %,3.27 %,2.90 %,3.34 %
63,1956,0.37 %,0.37 %,0.37 %,0.75 %,1.12 %,1.87 %,2.24 %,1.87 %,1.86 %,2.23 %,2.23 %,2.99 %,1.52 %
64,1955,-0.74 %,-0.74 %,-0.74 %,-0.37 %,-0.74 %,-0.74 %,-0.37 %,-0.37 %,0.37 %,0.37 %,0.37 %,0.37 %,-0.28 %
65,1954,1.13 %,1.51 %,1.13 %,0.75 %,0.75 %,0.37 %,0.37 %,0.00 %,-0.37 %,-0.74 %,-0.37 %,-0.74 %,0.32 %
66,1953,0.38 %,0.76 %,1.14 %,0.76 %,1.14 %,1.13 %,0.37 %,0.75 %,0.75 %,1.12 %,0.75 %,0.75 %,0.82 %
67,1952,4.33 %,2.33 %,1.94 %,2.33 %,1.93 %,2.32 %,3.09 %,3.09 %,2.30 %,1.91 %,1.14 %,0.75 %,2.29 %
68,1951,8.09 %,9.36 %,9.32 %,9.32 %,9.28 %,8.82 %,7.47 %,6.58 %,6.97 %,6.50 %,6.88 %,6.00 %,7.88 %
69,1950,-2.08 %,-1.26 %,-0.84 %,-1.26 %,-0.42 %,-0.42 %,1.69 %,2.10 %,2.09 %,3.80 %,3.78 %,5.93 %,1.09 %
70,1949,1.27 %,1.28 %,1.71 %,0.42 %,-0.42 %,-0.83 %,-2.87 %,-2.86 %,-2.45 %,-2.87 %,-1.65 %,-2.07 %,-0.95 %
71,1948,10.23 %,9.30 %,6.85 %,8.68 %,9.13 %,9.55 %,9.91 %,8.89 %,6.52 %,6.09 %,4.76 %,2.99 %,7.74 %
72,1947,18.13 %,18.78 %,19.67 %,19.02 %,18.38 %,17.65 %,12.12 %,11.39 %,12.75 %,10.58 %,8.45 %,8.84 %,14.65 %
73,1946,2.25 %,1.69 %,2.81 %,3.37 %,3.35 %,3.31 %,9.39 %,11.60 %,12.71 %,14.92 %,17.68 %,18.13 %,8.43 %
74,1945,2.30 %,2.30 %,2.30 %,1.71 %,2.29 %,2.84 %,2.26 %,2.26 %,2.26 %,2.26 %,2.26 %,2.25 %,2.27 %
75,1944,2.96 %,2.96 %,1.16 %,0.57 %,0.00 %,0.57 %,1.72 %,2.31 %,1.72 %,1.72 %,1.72 %,2.30 %,1.64 %
76,1943,7.64 %,6.96 %,7.50 %,8.07 %,7.36 %,7.36 %,6.10 %,4.85 %,5.45 %,4.19 %,3.57 %,2.96 %,6.00 %
77,1942,11.35 %,12.06 %,12.68 %,12.59 %,13.19 %,10.88 %,11.56 %,10.74 %,9.27 %,9.15 %,9.09 %,9.03 %,10.97 %
78,1941,1.44 %,0.71 %,1.43 %,2.14 %,2.86 %,4.26 %,5.00 %,6.43 %,7.86 %,9.29 %,10.00 %,9.93 %,5.11 %
79,1940,-0.71 %,0.72 %,0.72 %,1.45 %,1.45 %,2.17 %,1.45 %,1.45 %,-0.71 %,0.00 %,0.00 %,0.71 %,0.73 %
80,1939,-1.41 %,-1.42 %,-1.42 %,-2.82 %,-2.13 %,-2.13 %,-2.13 %,-2.13 %,0.00 %,0.00 %,0.00 %,0.00 %,-1.30 %
81,1938,0.71 %,0.00 %,-0.70 %,-0.70 %,-2.08 %,-2.08 %,-2.76 %,-2.76 %,-3.42 %,-4.11 %,-3.45 %,-2.78 %,-2.01 %
82,1937,2.17 %,2.17 %,3.65 %,4.38 %,5.11 %,4.35 %,4.32 %,3.57 %,4.29 %,4.29 %,3.57 %,2.86 %,3.73 %
83,1936,1.47 %,0.73 %,0.00 %,-0.72 %,-0.72 %,0.73 %,1.46 %,2.19 %,2.19 %,2.19 %,1.45 %,1.45 %,1.04 %
84,1935,3.03 %,3.01 %,3.01 %,3.76 %,3.76 %,2.24 %,2.24 %,2.24 %,0.74 %,1.48 %,2.22 %,2.99 %,2.56 %
85,1934,2.33 %,4.72 %,5.56 %,5.56 %,5.56 %,5.51 %,2.29 %,1.52 %,3.03 %,2.27 %,2.27 %,1.52 %,3.51 %
86,1933,-9.79 %,-9.93 %,-10.00 %,-9.35 %,-8.03 %,-6.62 %,-3.68 %,-2.22 %,-1.49 %,-0.75 %,0.00 %,0.76 %,-5.09 %
87,1932,-10.06 %,-10.19 %,-10.26 %,-10.32 %,-10.46 %,-9.93 %,-9.93 %,-10.60 %,-10.67 %,-10.74 %,-10.20 %,-10.27 %,-10.30 %
88,1931,-7.02 %,-7.65 %,-7.69 %,-8.82 %,-9.47 %,-10.12 %,-9.04 %,-8.48 %,-9.64 %,-9.70 %,-10.37 %,-9.32 %,-8.94 %
89,1930,0.00 %,-0.58 %,-0.59 %,0.59 %,-0.59 %,-1.75 %,-4.05 %,-4.62 %,-4.05 %,-4.62 %,-5.20 %,-6.40 %,-2.66 %
90,1929,-1.16 %,0.00 %,-0.58 %,-1.17 %,-1.16 %,0.00 %,1.17 %,1.17 %,0.00 %,0.58 %,0.58 %,0.58 %,0.00 %
91,1928,-1.14 %,-1.72 %,-1.16 %,-1.16 %,-1.15 %,-2.84 %,-1.16 %,-0.58 %,0.00 %,-1.15 %,-0.58 %,-1.16 %,-1.15 %
92,1927,-2.23 %,-2.79 %,-2.81 %,-3.35 %,-2.25 %,-0.56 %,-1.14 %,-1.15 %,-1.14 %,-1.14 %,-2.26 %,-2.26 %,-1.92 %
